fold	role	shape_class	name	m	n	k	kernel	stride	measured_us
4	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.1/cv2/conv/Conv	1600	32	288	3x3	1x1	405.010243
4	training	1x1|1x1|1600|128|192|192|128|40|40|0|4	/model.13/cv2/conv/Conv	1600	128	192	1x1	1x1	1186.398971
4	training	1x1|1x1|6400|64|256|256|64|80|80|0|4	/model.16/cv1/conv/Conv	6400	64	256	1x1	1x1	3213.852614
4	training	1x1|1x1|6400|16|32|32|16|80|80|0|4	/model.16/m.0/cv1/conv/Conv	6400	16	32	1x1	1x1	308.151629
4	training	1x1|1x1|6400|16|32|32|16|80|80|0|4	/model.16/m.0/cv2/conv/Conv	6400	16	32	1x1	1x1	300.289071
4	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.0/cv1/conv/Conv	6400	16	144	3x3	1x1	747.105657
4	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.0/cv2/conv/Conv	6400	16	144	3x3	1x1	693.622429
4	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.1/cv1/conv/Conv	6400	16	144	3x3	1x1	727.913857
4	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.1/cv2/conv/Conv	6400	16	144	3x3	1x1	702.055229
4	training	1x1|1x1|6400|64|96|96|64|80|80|0|4	/model.16/cv2/conv/Conv	6400	64	96	1x1	1x1	1936.558771
4	training	3x3|2x2|1600|64|576|64|64|40|40|0|4	/model.17/conv/Conv	1600	64	576	3x3	2x2	1156.471857
4	training	3x3|1x1|6400|16|576|64|16|80|80|0|4	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	6400	16	576	3x3	1x1	2324.779586
4	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	6400	16	144	3x3	1x1	734.622786
4	training	1x1|1x1|1600|128|192|192|128|40|40|0|4	/model.19/cv1/conv/Conv	1600	128	192	1x1	1x1	1237.752329
4	training	1x1|1x1|6400|4|16|16|4|80|80|4|4	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	6400	4	16	1x1	1x1	234.775343
4	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.19/m.0/cv1/conv/Conv	1600	32	64	1x1	1x1	268.226171
4	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.19/m.0/cv2/conv/Conv	1600	32	64	1x1	1x1	195.726186
4	training	1x1|1x1|6400|80|80|80|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	6400	80	80	1x1	1x1	2158.359529
4	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.0/cv1/conv/Conv	1600	32	288	3x3	1x1	466.082857
4	training	1x1|1x1|6400|80|80|80|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	6400	80	80	1x1	1x1	2144.729757
