arm	operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	min_us	max_us
direct	150	lut2	full_executor	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear	140	250.451550	248.539500	285.103200	236.603000	291.598000
direct	151	conv_dense	full_executor	/model.19/m.0/m/m.1/cv1/conv/Conv	140	603.843071	601.404000	635.663700	595.071000	700.687000
direct	152	lut1	full_executor	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	140	19.933371	19.873000	20.625100	19.248000	22.165000
direct	153	conv_dense	full_executor	/model.19/m.0/m/m.1/cv2/conv/Conv	140	601.844464	599.696000	631.674000	591.029000	638.108000
direct	154	lut2	full_executor	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output	140	266.618864	262.060500	298.629250	256.518000	319.471000
direct	155	concat	full_executor	/model.19/m.0/Concat	140	57.466464	56.245000	62.327650	51.246000	94.075000
direct	156	conv_dense	full_executor	/model.19/m.0/cv3/conv/Conv	140	848.824214	844.257000	885.023300	804.927000	1017.030000
direct	157	concat	full_executor	/model.19/Concat	140	169.624686	168.526000	176.508650	151.070000	218.481000
direct	158	conv_dense	full_executor	/model.19/cv2/conv/Conv	140	1974.759821	1973.216000	2019.298300	1919.788000	2185.589000
direct	159	lut1	full_executor	/model.19/cv2/act/Mul_output_0_QuantizeLinear	140	82.801057	82.618000	85.870050	79.368000	97.949000
direct	160	conv_dense	full_executor	/model.20/conv/Conv	140	1164.065729	1158.623500	1216.747300	1088.899000	1269.846000
direct	161	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	140	1301.971679	1294.964000	1333.194950	1266.673000	1439.783000
direct	162	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	140	1310.189893	1311.214500	1349.830400	1277.383000	1442.706000
direct	163	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	140	19.491700	19.352000	21.750050	17.498000	22.373000
direct	164	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	140	61.421157	62.390500	63.623150	57.995000	64.160000
direct	165	concat	full_executor	/model.21/Concat	140	97.978836	97.845500	103.289250	88.492000	111.157000
direct	166	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	140	296.374429	294.557000	298.299200	291.140000	395.255000
direct	167	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	140	1089.888614	1077.821000	1135.396500	1053.487000	1154.979000
direct	168	conv_dense	full_executor	/model.22/cv1/conv/Conv	140	1213.196386	1207.536000	1248.102200	1178.225000	1272.303000
direct	169	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	140	20.360007	19.706500	22.548300	17.457000	66.827000
direct	170	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	140	44.598600	43.475000	52.536050	37.497000	81.993000
direct	171	split	full_executor	/model.22/Split	140	26.469550	26.164000	28.164000	24.539000	41.413000
direct	172	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	140	69.116007	67.348000	82.692250	62.286000	108.324000
direct	173	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	140	814.608329	803.092500	848.359500	797.969000	1156.230000
direct	174	conv_dense	full_executor	/model.22/m.0/m.0.0/cv1/conv/Conv	140	696.572107	692.957500	725.417550	661.856000	989.829000
direct	175	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	140	45.546443	44.205000	48.851900	40.829000	119.447000
direct	176	lut1	full_executor	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear	140	13.300243	13.207000	13.917100	12.540000	24.706000
direct	177	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	140	938.089057	926.330500	967.663250	915.082000	1416.124000
direct	178	conv_dense	full_executor	/model.22/m.0/m.0.0/cv2/conv/Conv	140	769.729429	761.014000	814.940800	729.015000	1130.858000
direct	179	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	140	44.861064	42.496500	46.208800	40.829000	208.106000
direct	180	lut2	full_executor	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear	140	213.336779	210.689000	227.130750	209.440000	341.761000
direct	181	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	140	952.873150	941.205000	986.132800	924.335000	1356.879000
direct	182	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	140	908.459293	902.833000	937.058450	888.004000	1143.731000
direct	183	split	full_executor	/model.22/m.0/m.0.1/attn/Split	140	350.522736	347.447500	378.269000	346.343000	440.042000
direct	184	split	full_executor	/model.22/m.0/m.0.1/attn/Split	140	703.040900	693.144500	730.804350	691.894000	856.173000
direct	185	reshape_split_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose	140	357.858114	354.509000	387.174550	351.177000	392.464000
direct	186	reshape	full_executor	/model.22/m.0/m.0.1/attn/Reshape_2	140	27.054393	26.872500	31.134550	22.290000	33.289000
direct	187	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul	140	2886.263850	2890.196500	2913.437250	2857.939000	2964.977000
direct	188	conv_grouped	full_executor	/model.22/m.0/m.0.1/attn/pe/conv/Conv	140	5689.752793	5684.276500	5710.984150	5658.907000	6154.728000
direct	189	softmax_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose_1	140	3959.419357	3943.321500	3973.500500	3908.109000	6214.056000
direct	190	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul_1	140	3437.170314	3500.225000	3614.939100	3141.924000	3936.729000
direct	191	lut2	full_executor	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	140	1815.422064	1802.359500	1833.512950	1791.752000	2606.516000
direct	192	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/proj/conv/Conv	140	430.937821	425.836500	451.595350	420.171000	637.651000
direct	193	lut2	full_executor	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear	140	248.006800	246.519500	248.882100	244.311000	374.341000
direct	194	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	140	917.153121	909.106500	939.305350	897.836000	1231.472000
direct	195	lut1	full_executor	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	140	48.691343	46.849500	55.800950	43.371000	73.993000
direct	196	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	140	530.699429	525.578000	556.375000	515.454000	736.475000
direct	197	lut2	full_executor	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output	140	238.996300	236.145000	265.475050	230.687000	346.218000
direct	198	concat	full_executor	/model.22/Concat	140	96.947743	96.512000	101.492100	89.742000	130.114000
direct	199	conv_dense	full_executor	/model.22/cv2/conv/Conv	140	1203.836471	1196.472000	1241.870500	1165.935000	1537.903000
direct	200	lut1	full_executor	/model.22/cv2/act/Mul_output_0_QuantizeLinear	140	43.700164	41.621000	48.251250	37.455000	133.905000
direct	201	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	140	734.778479	730.414000	804.498800	659.896000	856.215000
direct	202	conv_grouped	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	140	813.458107	802.906500	849.125000	799.138000	914.916000
direct	203	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	140	9.853557	9.374000	11.415000	8.333000	43.704000
direct	204	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	140	33.472836	33.184500	33.959150	32.372000	67.036000
direct	205	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	140	85.753464	84.076000	86.988150	82.493000	125.155000
