repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	29	133768	2302.57	20272	67157.6	15811.4	11369.6	7635.95	3947.1	2496.36	2679.78	666805	0	0	1	0	0xd43f5e018b415631
0	30	133376	2527.69	20152.7	66998.1	15787.1	11346.1	7369.12	3842.94	2566.23	2692.28	658423	0	0	1	0	0xd43f5e018b415631
0	31	133751	2239.57	20350.7	67056.3	15897.4	11297.5	7598.91	4005.77	2536.4	2675.32	668126	0	2	1	0	0xd43f5e018b415631
0	32	135083	2547.9	20519	67589.7	15825.2	11378	7691.79	4231.68	2540.73	2656.69	661742	0	1	1	0	0xd43f5e018b415631
0	33	133695	2226.61	20123.8	67329.6	15758.9	11375.6	7586.03	3981.93	2531.15	2690.03	663071	0	2	1	0	0xd43f5e018b415631
0	34	134094	2581.57	20131.7	67155.8	15922.6	11332.3	7715.87	3985.35	2516.23	2660.82	655933	0	0	1	0	0xd43f5e018b415631
0	35	133350	2224.9	20210.8	67049	15766.2	11378.5	7555.54	3882.02	2500.24	2690.9	661846	0	0	1	0	0xd43f5e018b415631
0	36	133871	2197.45	20158.5	67745	15803.1	11348.1	7468.67	3874.27	2534.99	2647.48	656045	0	0	1	0	0xd43f5e018b415631
0	37	133951	2232.45	20384.2	67559.8	15772.4	11398.7	7395.37	3928.14	2514.73	2674.86	663713	0	0	1	0	0xd43f5e018b415631
0	38	133653	2568.44	20036.9	67074	15771.9	11370.2	7510.25	4040.85	2541.44	2648.23	654594	0	1	1	0	0xd43f5e018b415631
0	39	133750	2246.11	20259.5	67397.1	15743.2	11429.6	7473.21	3936.85	2485.94	2687.4	663255	1	0	1	0	0xd43f5e018b415631
0	40	134110	2187.61	20155.2	67869.2	15820	11371.1	7521.99	3946.76	2502.28	2644.48	655591	0	2	1	0	0xd43f5e018b415631
0	41	133677	2213.15	20152.4	67479.2	15655.6	11413.3	7536.95	3943.77	2503.82	2686.11	661447	0	1	1	0	0xd43f5e018b415631
0	42	134095	2246.15	20390.8	67333.1	15784.4	11386.8	7516.12	4147.27	2505.19	2690.73	670296	0	1	1	0	0xd43f5e018b415631
0	43	133812	2177.45	20251.1	67301.5	15756.9	11449.7	7670.58	3932.31	2493.07	2686.48	660780	0	0	1	0	0xd43f5e018b415631
0	44	133505	2235.82	20294.7	66903.4	15827.5	11387.8	7605.37	3969.77	2548.57	2638.94	652287	0	0	1	0	0xd43f5e018b415631
0	45	133835	2189.95	20114.4	67420.8	15776.2	11430	7707.7	3924.73	2499.57	2679.28	661521	0	0	1	0	0xd43f5e018b415631
0	46	133609	2236.74	20090.5	67145.9	15913.1	11397.1	7523.29	4073.81	2495.99	2637.9	652941	0	2	1	0	0xd43f5e018b415631
0	47	133896	2193.61	20261.7	67426.4	15732.7	11430.8	7690.58	3905.43	2491.32	2670.69	661821	0	1	1	0	0xd43f5e018b415631
0	48	134438	2484.36	20439.6	67662.7	15862.6	11371.3	7379.46	3919.69	2531.53	2692.57	669768	0	2	1	0	0xd43f5e018b415631
0	49	134232	2497.82	20345.5	67386.7	15796.7	11361.9	7568.29	3970.27	2566.61	2646.48	658975	0	0	1	0	0xd43f5e018b415631
0	50	133692	2238.9	20151.7	67460.9	15781.1	11350.3	7547.83	3862.98	2505.49	2671.65	664602	0	0	1	0	0xd43f5e018b415631
