graph_index	node_name	block	shape_class	macs	mapping_case_id	mapping_rate_gmacs	central_us	conservative_us	evidence
909	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	model.22	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
923	/model.22/m.0/m.0.1/attn/MatMul	model.22	matmul_attention	10240000	-1	1.500000	6826.666667	10240.000000	conservative_unsupported_fallback
928	/model.22/m.0/m.0.1/attn/pe/conv/Conv	model.22	grouped_or_depthwise_conv	460800	-1	0.500000	921.600000	1382.400000	conservative_unsupported_fallback
936	/model.22/m.0/m.0.1/attn/MatMul_1	model.22	matmul_attention	20480000	-1	1.500000	13653.333333	20480.000000	conservative_unsupported_fallback
943	/model.22/m.0/m.0.1/attn/proj/conv/Conv	model.22	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
949	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	model.22	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
956	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	model.22	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
963	/model.22/cv2/conv/Conv	model.22	1x1_low_resolution	39321600	6	8.341684	4713.868327	4799.703694	fullshape_integrated_m12n16_w4
970	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	model.23	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
971	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	model.23	grouped_or_depthwise_conv	921600	-1	0.500000	1843.200000	2764.800000	conservative_unsupported_fallback
984	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	model.23	3x3_stride1	921600	3	1.406489	655.248637	656.351305	fullshape_integrated_m12n16_w4
985	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	model.23	1x1_low_resolution	8192000	7	2.980455	2748.573624	2835.319152	fullshape_integrated_m12n16_w4
998	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	model.23	small_n_head_conv	25600	8	0.240191	106.581845	110.159413	fullshape_integrated_m12n16_w4
999	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	model.23	grouped_or_depthwise_conv	288000	-1	0.500000	576.000000	864.000000	conservative_unsupported_fallback
1013	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	model.23	1x1_low_resolution	2560000	7	2.980455	858.929257	886.037235	fullshape_integrated_m12n16_w4
1029	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	model.23	1x1_low_resolution	2560000	7	2.980455	858.929257	886.037235	fullshape_integrated_m12n16_w4
