fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F6	bus_image	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	14935425869380533301	1	819200	-1	-1
F6	bus_image	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	10078462319333025534	1	204800	-1	-1
F6	bus_image	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	4572341609340958646	1	102400	-1	-1
F6	bus_image	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7326430438787394239	1	51200	-1	-1
F6	bus_image	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	6959147742128483930	1	51200	-1	-1
F6	bus_image	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	15638155774747881529	1	51200	-1	-1
F6	bus_image	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	8277500701708276110	1	51200	-1	-1
F6	bus_image	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	2557927992753430440	1	51200	-1	-1
F6	bus_image	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	8258070258249295433	1	51200	-1	-1
F6	bus_image	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	12426572458365327521	1	102400	-1	-1
F6	bus_image	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	1	1	10582745646524506064	1	228125	8	9
F6	bus_image	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	4	2	6494029362524892906	1	39325	11	10
F6	bus_image	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	34	3	12580286489044908743	1	5792	0	1
F6	bus_image	19	/model.8/Split_output_1_QuantizeLinear_Output	0	87	3	2296297905977732129	1	1773	11	10
F6	bus_image	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	85	3	1398348498791577179	1	173	12	10
F6	bus_image	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	255	3	12120792401344987501	1	204	6	7
F6	bus_image	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	979	3	11986256887402903183	1	135	129	130
F6	bus_image	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	634	5	6532732646429183152	1	135	29	30
F6	bus_image	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	724	3	15852150191412477784	1	136	14	15
