timestamp_utc	zone0_mC	zone1_mC	zone2_mC	zone3_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-15T10:11:48Z	59000	60000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:53Z	60000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:59Z	61000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:04Z	59000	58000	69000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:09Z	59000	58000	68000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:14Z	60000	59000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:19Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:24Z	59000	59000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:29Z	59000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:34Z	58000	59000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:39Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:44Z	60000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:49Z	59000	59000	66000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:12:55Z	60000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:00Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:05Z	59000	60000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:10Z	59000	59000	64000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:15Z	60000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:20Z	60000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:25Z	59000	59000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:30Z	59000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:35Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:40Z	60000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:45Z	59000	59000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:50Z	59000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:13:56Z	59000	60000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:01Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:06Z	59000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:11Z	59000	57000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:16Z	60000	59000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:21Z	59000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:26Z	58000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:31Z	59000	59000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:36Z	61000	59000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:41Z	60000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:46Z	60000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:51Z	60000	58000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:14:57Z	59000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:02Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:07Z	59000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:12Z	61000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:17Z	59000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:22Z	59000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:27Z	59000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:32Z	60000	60000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:37Z	59000	60000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:42Z	59000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:47Z	60000	59000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:52Z	59000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:15:58Z	60000	59000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:16:03Z	61000	59000	66000	65000	1600000	1600000	1600000	1600000	1600000
