resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
448	depthwise_c128	162	conv_grouped	784	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
480	depthwise_c128	162	conv_grouped	900	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
512	depthwise_c128	162	conv_grouped	1024	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
640	depthwise_c128	162	conv_grouped	1600	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
384	depthwise_c80	173	conv_grouped	576	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
416	depthwise_c80	173	conv_grouped	676	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
448	depthwise_c80	173	conv_grouped	784	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
480	depthwise_c80	173	conv_grouped	900	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
512	depthwise_c80	173	conv_grouped	1024	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
640	depthwise_c80	173	conv_grouped	1600	80	720	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
384	depthwise_c256	202	conv_grouped	144	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
416	depthwise_c256	202	conv_grouped	169	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
448	depthwise_c256	202	conv_grouped	196	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
480	depthwise_c256	202	conv_grouped	225	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
512	depthwise_c256	202	conv_grouped	256	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
640	depthwise_c256	202	conv_grouped	400	256	2304	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	4	384	1x1	1x1	m12n4	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	8	384	1x1	1x1	m12n8	bounded-graph-backed-synthetic-exact-shape
