resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
480	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	120	120	14400	16	72	3x3	1x1	8	16	345600	1152	941.813	937.036	974.374	998.599	0xca57491e215593c2	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	128	128	16384	16	72	3x3	1x1	8	16	393216	1152	1067.76	1066.27	1081.73	1087.35	0x7fe9115c11b15446	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	160	160	25600	16	72	3x3	1x1	8	16	614400	1152	1654.82	1652.44	1669.84	1709.9	0x385affe48878dc96	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	48	48	2304	16	144	3x3	1x1	16	16	73728	2304	234.595	232.274	248.659	250.004	0x440485ca34b4359f	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	52	52	2704	16	144	3x3	1x1	16	16	86528	2304	276.288	274.817	282.442	286.797	0x76d1889c19aa3dc5	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	56	56	3136	16	144	3x3	1x1	16	16	100352	2304	323.776	318.547	335.208	380.214	0x7dd7b6b191900db7	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	60	60	3600	16	144	3x3	1x1	16	16	115200	2304	372.618	369.173	385.964	420.007	0x365dafdfc5b49cb7	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	64	64	4096	16	144	3x3	1x1	16	16	131072	2304	425.832	423.194	436.273	449.257	0xc54caacdb720d8ff	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s1_k144	113	/model.16/m.0/m/m.0/cv1/conv/Conv	conv_dense	80	80	6400	16	144	3x3	1x1	16	16	204800	2304	645.571	644.302	656.004	656.677	0x93237ed8c562dc4a	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	48	48	2304	16	576	3x3	1x1	64	16	184320	9216	826.4	823.471	840.561	850.18	0xd6bf2c7d20c29221	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
