graph_index	node_name	block	op_type	input_shape	output_shape	kernel	stride	padding	group	M	N	K	MACs	weight_bytes	activation_bytes	M_mod_4	M_mod_8	M_mod_12	N_mod_16	N_mod_32	K_padding_to_8	candidate_layout	candidate_kernel_class	shape_class
851	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	model.23	Conv	1x16x40x40	1x16x40x40	3x3	1x1	1x1	1	1600	16	144	3686400	2304	204800	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
852	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	model.23	Conv	1x128x40x40	1x80x40x40	1x1	1x1	0x0	1	1600	80	128	16384000	10240	1331200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
853	/model.22/cv1/conv/Conv	model.22	Conv	1x384x20x20	1x256x20x20	1x1	1x1	0x0	1	400	256	384	39321600	98304	1024000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
872	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	model.23	Conv	1x16x40x40	1x4x40x40	1x1	1x1	0x0	1	1600	4	16	102400	64	128000	0	0	4	4	4	0	resident_NHWC16_signed_s8	m4n16_n_tail	small_n_head_conv
873	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	model.23	Conv	1x80x40x40	1x80x40x40	3x3	1x1	1x1	80	1600	80	9	1152000	720	1024000	0	0	4	0	16	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
877	/model.22/m.0/m.0.0/cv1/conv/Conv	model.22	Conv	1x128x20x20	1x64x20x20	3x3	1x1	1x1	1	400	64	1152	29491200	73728	307200	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
890	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	model.23	Conv	1x80x40x40	1x80x40x40	1x1	1x1	0x0	1	1600	80	80	10240000	6400	1024000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
893	/model.22/m.0/m.0.0/cv2/conv/Conv	model.22	Conv	1x64x20x20	1x128x20x20	3x3	1x1	1x1	1	400	128	576	29491200	73728	307200	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
904	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	model.23	Conv	1x80x40x40	1x80x40x40	1x1	1x1	0x0	1	1600	80	80	10240000	6400	1024000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
909	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	model.22	Conv	1x128x20x20	1x256x20x20	1x1	1x1	0x0	1	400	256	128	13107200	32768	614400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
923	/model.22/m.0/m.0.1/attn/MatMul	model.22	MatMul	1x2x400x32	1x2x400x400	not-applicable	not-applicable	not-applicable	1	800	400	32	10240000	0	1382400	0	0	8	0	16	0	resident_NHWC16_signed_s8	matmul_conservative	matmul_attention
928	/model.22/m.0/m.0.1/attn/pe/conv/Conv	model.22	Conv	1x128x20x20	1x128x20x20	3x3	1x1	1x1	128	400	128	9	460800	1152	409600	0	0	4	0	0	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
936	/model.22/m.0/m.0.1/attn/MatMul_1	model.22	MatMul	1x2x64x400	1x2x64x400	not-applicable	not-applicable	not-applicable	1	128	400	400	20480000	0	409600	0	0	8	0	16	0	resident_NHWC16_signed_s8	matmul_conservative	matmul_attention
943	/model.22/m.0/m.0.1/attn/proj/conv/Conv	model.22	Conv	1x128x20x20	1x128x20x20	1x1	1x1	0x0	1	400	128	128	6553600	16384	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
949	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	model.22	Conv	1x128x20x20	1x256x20x20	1x1	1x1	0x0	1	400	256	128	13107200	32768	614400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
956	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	model.22	Conv	1x256x20x20	1x128x20x20	1x1	1x1	0x0	1	400	128	256	13107200	32768	614400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
963	/model.22/cv2/conv/Conv	model.22	Conv	1x384x20x20	1x256x20x20	1x1	1x1	0x0	1	400	256	384	39321600	98304	1024000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
970	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	model.23	Conv	1x256x20x20	1x16x20x20	3x3	1x1	1x1	1	400	16	2304	14745600	36864	435200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
971	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	model.23	Conv	1x256x20x20	1x256x20x20	3x3	1x1	1x1	256	400	256	9	921600	2304	819200	0	0	4	0	0	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
984	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	model.23	Conv	1x16x20x20	1x16x20x20	3x3	1x1	1x1	1	400	16	144	921600	2304	51200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
985	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	model.23	Conv	1x256x20x20	1x80x20x20	1x1	1x1	0x0	1	400	80	256	8192000	20480	537600	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
998	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	model.23	Conv	1x16x20x20	1x4x20x20	1x1	1x1	0x0	1	400	4	16	25600	64	32000	0	0	4	4	4	0	resident_NHWC16_signed_s8	m4n16_n_tail	small_n_head_conv
999	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	model.23	Conv	1x80x20x20	1x80x20x20	3x3	1x1	1x1	80	400	80	9	288000	720	256000	0	0	4	0	16	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
1013	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	model.23	Conv	1x80x20x20	1x80x20x20	1x1	1x1	0x0	1	400	80	80	2560000	6400	256000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
1029	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	model.23	Conv	1x80x20x20	1x80x20x20	1x1	1x1	0x0	1	400	80	80	2560000	6400	256000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
