block	initializer	dtype	shape	element_count	bytes	raw_sha256
model8	model.8.m.0.cv2.conv.weight_quantized	int8	64x128x1x1	8192	8192	d854b1fe0f849f097b8f831428d44beb7d72c2e340595202b8c7e4014ea02d9d
model8	model.8.m.0.cv2.conv.weight_scale	float32	64	64	256	e6c5f5400f8724411fd952aad64bd745f3ef387bbad3fcc7e2af3a330355f4d4
model8	model.8.m.0.cv2.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model8	model.8.m.0.cv3.conv.bias_quantized	int32	128	128	512	a03a6e145617e511b2496e2ba5aa44638e9b0bff81e6b4f32d0f97d068f084f0
model8	model.8.m.0.cv3.conv.bias_quantized_scale	float32	128	128	512	c75710c749bc8b92b10df965bf1fac5f0201f4eb83f647812abcda5ce16976fe
model8	model.8.m.0.cv3.conv.bias_quantized_zero_point	int32	128	128	512	076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
model8	model.8.m.0.cv3.conv.weight_quantized	int8	128x128x1x1	16384	16384	31f5e50358319a8c4a3f72aeeb4feba5018a506448c5fd6b41df8c7292c6c613
model8	model.8.m.0.cv3.conv.weight_scale	float32	128	128	512	64d6bd2a4b35b282ef6bf89c7cae2f7e3988e3e2a7b4e093a839f5a6cd4756be
model8	model.8.m.0.cv3.conv.weight_zero_point	int8	128	128	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model8	model.8.m.0.m.0.cv1.conv.bias_quantized	int32	64	64	256	5a0c54272b5a717649ff80adb48671d69d7e9a9a242a2ce6166d8c19b5e74d17
model8	model.8.m.0.m.0.cv1.conv.bias_quantized_scale	float32	64	64	256	f1d9ee69312ae181c7c471ca5810fbe3ffccc4adb24371db5e5e5916f29e06da
model8	model.8.m.0.m.0.cv1.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.m.0.cv1.conv.weight_quantized	int8	64x64x3x3	36864	36864	9fbc0183a713e2bd0bd7a56dd5f2a5a8c528fb51d1fae6262a13662275d40d65
model8	model.8.m.0.m.0.cv1.conv.weight_scale	float32	64	64	256	0be84545626399db95519dc1491958f58d686e8a5aafbe1e8a61ba4e6fe74d38
model8	model.8.m.0.m.0.cv1.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model8	model.8.m.0.m.0.cv2.conv.bias_quantized	int32	64	64	256	1bc2ccb5ad8df5c01d50c6f92bb78e07e1a17b831afd827b0f68ce3c78564ed0
model8	model.8.m.0.m.0.cv2.conv.bias_quantized_scale	float32	64	64	256	85364fc8d1701b8e31a2917ac24d21aa014b30d68dad90184cf150b624a93a76
model8	model.8.m.0.m.0.cv2.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.m.0.cv2.conv.weight_quantized	int8	64x64x3x3	36864	36864	56f01b7c1f05649e054826b4079a78f983b6495a8be652abed79ab6a74ff91e9
model8	model.8.m.0.m.0.cv2.conv.weight_scale	float32	64	64	256	8c87a25a9284230a2fcd0a1a94f89d620d9ac66c5f6086ea691f056a810c7cb7
model8	model.8.m.0.m.0.cv2.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model8	model.8.m.0.m.1.cv1.conv.bias_quantized	int32	64	64	256	2dcbf4be1f59bb091c18d9a2194b4b77458e2832e0510c323c13fa17c3cbd5e6
model8	model.8.m.0.m.1.cv1.conv.bias_quantized_scale	float32	64	64	256	b535e57b257206b60ae06205f7dcde9e434c85d1e653b10130b1e4dc77f35888
model8	model.8.m.0.m.1.cv1.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.m.1.cv1.conv.weight_quantized	int8	64x64x3x3	36864	36864	11d3e321ed87969b6034739b9dc9f172793a16412e494f43a36da00f9f9e2628
model8	model.8.m.0.m.1.cv1.conv.weight_scale	float32	64	64	256	39e7e95e06282a76d75fafd80c25b510666ba48ebe5a33f79f921f4f2b17a0fd
model8	model.8.m.0.m.1.cv1.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model8	model.8.m.0.m.1.cv2.conv.bias_quantized	int32	64	64	256	c4a26dedf6e17c90e0dac6348148d330374e88d17cab22ccec5767671aa14dc7
model8	model.8.m.0.m.1.cv2.conv.bias_quantized_scale	float32	64	64	256	7728b73213471cf75f9c509e1673068f2b1155ae7b1d111f3c8942d37eecb4a7
model8	model.8.m.0.m.1.cv2.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.m.1.cv2.conv.weight_quantized	int8	64x64x3x3	36864	36864	ca38d0ca87a31ed545046be9b914cc37dcb76d6ed9f99f0211dd3c0807abc1bc
model8	model.8.m.0.m.1.cv2.conv.weight_scale	float32	64	64	256	407c23d04a03521ef1184055ff5d3a5dcf21ace05bd8addba099d626a0b30284
model8	model.8.m.0.m.1.cv2.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
