candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
B2	16	000000401320.jpg	split-s8	1x300x6	float32	b16acafd3cd579b80d52082904f46d92f5bfbcf322dde0bf3269add981de7e4b	0	0.0	639.9432373046875	230.31964111328125	217.9499053955078	110	1690	0	1690	247.417889	3.707288	251.125177
B2	17	000000216524.jpg	source-fp32	1x300x6	float32	89cfdac2f1fff5f69250a6692d0f478be5ae2a8036bff68d9d63fb10617edcb9	0	-0.9484176635742188	641.618896484375	219.98056030273438	201.98756408691406	51	1749	2	1747	nan	nan	nan
B2	17	000000216524.jpg	split-fp32	1x300x6	float32	89cfdac2f1fff5f69250a6692d0f478be5ae2a8036bff68d9d63fb10617edcb9	0	-0.9484176635742188	641.618896484375	219.98056030273438	201.98756408691406	51	1749	2	1747	171.767588	3.593983	175.361571
B2	17	000000216524.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	89cfdac2f1fff5f69250a6692d0f478be5ae2a8036bff68d9d63fb10617edcb9	0	-0.9484176635742188	641.618896484375	219.98056030273438	201.98756408691406	51	1749	2	1747	nan	3.309219	nan
B2	17	000000216524.jpg	split-s8	1x300x6	float32	73edf433732b432d97091aa8b8ee308e39f3f706b8e126ed5165e8fe3088cf8b	0	-1.4884796142578125	641.3219604492188	213.63052368164062	197.62881469726562	41	1759	10	1749	242.254702	3.540523	245.79522500000002
B2	18	000000505663.jpg	source-fp32	1x300x6	float32	e24bf957737d5544ab3d3f91190ddde7c820c2c2d7ce130ca64181987efb008d	0	-5.33441162109375	641.050048828125	241.0157470703125	205.04129028320312	80	1720	39	1681	nan	nan	nan
B2	18	000000505663.jpg	split-fp32	1x300x6	float32	e24bf957737d5544ab3d3f91190ddde7c820c2c2d7ce130ca64181987efb008d	0	-5.33441162109375	641.050048828125	241.0157470703125	205.04129028320312	80	1720	39	1681	172.668725	3.422662	176.091387
B2	18	000000505663.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e24bf957737d5544ab3d3f91190ddde7c820c2c2d7ce130ca64181987efb008d	0	-5.33441162109375	641.050048828125	241.0157470703125	205.04129028320312	80	1720	39	1681	nan	3.27061	nan
B2	18	000000505663.jpg	split-s8	1x300x6	float32	fb0e52742812ee410d48526dd574db3cc79e5199b357c8599ff2a7bd51654d6a	0	-8.088287353515625	640.1427001953125	236.32839965820312	198.853515625	88	1712	32	1680	240.814214	3.383868	244.198082
B2	19	000000151833.jpg	source-fp32	1x300x6	float32	6cc041df3ae0110f500f9513a43efd9bf411f6eee61041b8fd3fb56145b39de7	0	0.0	641.3342895507812	286.39056396484375	250.90054321289062	242	1558	0	1558	nan	nan	nan
B2	19	000000151833.jpg	split-fp32	1x300x6	float32	6cc041df3ae0110f500f9513a43efd9bf411f6eee61041b8fd3fb56145b39de7	0	0.0	641.3342895507812	286.39056396484375	250.90054321289062	242	1558	0	1558	171.516398	3.607026	175.123424
B2	19	000000151833.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	6cc041df3ae0110f500f9513a43efd9bf411f6eee61041b8fd3fb56145b39de7	0	0.0	641.3342895507812	286.39056396484375	250.90054321289062	242	1558	0	1558	nan	3.391722	nan
B2	19	000000151833.jpg	split-s8	1x300x6	float32	7f2ecdbd4adbefb1830be9ba98bd8c288ceb84530b43c0cf864a4d4a1c8faeea	0	0.0	641.9735717773438	286.8517761230469	252.33680725097656	251	1549	0	1549	247.887936	4.801967	252.689903
