resolution	route	operation_index	M	N	K	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_count_per_cycle	all_available	time_running_status	interpretation
320	m4tail	124	4	64	96	l1d_read_access	4	141779.000000	5039.250000	0.035542993	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	133	4	80	64	l1d_read_access	4	140041.750000	5008.750000	0.035766120	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	144	4	80	80	l1d_read_access	4	143684.000000	5449.750000	0.037928719	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	161	4	16	1152	l1d_read_access	4	216182.750000	14366.000000	0.066453036	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	201	4	16	2304	l1d_read_access	4	298057.250000	27225.250000	0.091342351	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	206	4	80	256	l1d_read_access	4	168103.750000	10181.750000	0.060568250	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	5	4	32	32	l1d_read_miss	4	155222.250000	118.750000	0.000765032	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	12	4	64	48	l1d_read_miss	4	146188.500000	107.500000	0.000735352	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	124	4	64	96	l1d_read_miss	4	145708.000000	72.250000	0.000495855	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	133	4	80	64	l1d_read_miss	4	150431.500000	123.750000	0.000822634	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	144	4	80	80	l1d_read_miss	4	145192.750000	89.000000	0.000612978	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	161	4	16	1152	l1d_read_miss	4	226935.000000	305.250000	0.001345099	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	201	4	16	2304	l1d_read_miss	4	305516.250000	342.500000	0.001121053	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	206	4	80	256	l1d_read_miss	4	170607.750000	235.000000	0.001377429	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	5	6400	32	32	backend_stalls	4	7975071.000000	2651260.750000	0.332443529	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	12	6400	64	48	backend_stalls	4	19156867.250000	8946410.000000	0.467007986	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	124	1600	64	96	backend_stalls	4	5765647.750000	2613635.000000	0.453311599	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	133	1600	80	64	backend_stalls	4	5723648.750000	2379307.000000	0.415697592	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	144	1600	80	80	backend_stalls	4	6216221.500000	2654954.000000	0.427100933	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	161	400	16	1152	backend_stalls	4	5624506.750000	2956303.750000	0.525611201	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	201	100	16	2304	backend_stalls	4	3010794.500000	1405398.000000	0.466786425	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	206	100	80	256	backend_stalls	4	1002155.750000	457453.000000	0.456468967	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	5	6400	32	32	frontend_stalls	4	7915111.500000	85758.000000	0.010834718	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	12	6400	64	48	frontend_stalls	4	19228286.750000	217790.250000	0.011326555	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	124	1600	64	96	frontend_stalls	4	5708975.250000	54610.750000	0.009565771	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	133	1600	80	64	frontend_stalls	4	5719831.750000	55219.000000	0.009653955	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	144	1600	80	80	frontend_stalls	4	6162528.500000	56458.500000	0.009161580	1	positive	event-count-per-cycle; not a miss/access ratio
320	m8n16	161	400	16	1152	frontend_stalls	4	5604715.750000	53971.500000	0.009629659	1	positive	event-count-per-cycle; not a miss/access ratio
