resolution	category_id	class_name	instances	ap50_95	ap50	recall_iou50_conf001
512	14	parking meter	60	0.43261601319654036	0.5497694720488486	0.7333333333333333
512	15	bench	413	0.18868855870880755	0.2793520348998845	0.5883777239709443
512	16	bird	440	0.2606072833571231	0.4188706677051056	0.6454545454545455
512	17	cat	202	0.6818985406037782	0.8483487025741224	0.9455445544554455
512	18	dog	218	0.5964095503719886	0.7216109183234143	0.9036697247706422
512	19	horse	273	0.527542044214414	0.729721657820421	0.9157509157509157
512	20	sheep	361	0.42823538233565833	0.6502346645102537	0.9058171745152355
512	21	cow	380	0.44544004217606165	0.6701661429637089	0.8894736842105263
512	22	elephant	255	0.6142204599351901	0.8368183541905758	0.9647058823529412
512	23	bear	71	0.6815911806895866	0.8325584219213173	0.9577464788732394
512	24	zebra	268	0.6278879767457322	0.8644759182828767	0.9738805970149254
512	25	giraffe	232	0.6550746200480327	0.8495747776455448	0.9439655172413793
512	27	backpack	371	0.07854702074053212	0.1509964676041543	0.5822102425876011
512	28	umbrella	413	0.34537002019495605	0.5083310294183258	0.7602905569007264
512	31	handbag	540	0.07178967732651295	0.138556527821812	0.5481481481481482
512	32	tie	254	0.2353276630016559	0.38272143504161943	0.5787401574803149
512	33	suitcase	303	0.34806629904850495	0.5127944995972389	0.801980198019802
512	34	frisbee	115	0.5298266964179813	0.7221652743300726	0.8782608695652174
512	35	skis	241	0.16003719616173953	0.2976338830715258	0.6804979253112033
512	36	snowboard	69	0.23397992779404583	0.3381594054019862	0.6811594202898551
512	37	sports ball	263	0.31585699355128133	0.4800351628116954	0.5779467680608364
512	38	kite	336	0.3587266939482174	0.5513327345269022	0.8035714285714286
512	39	baseball bat	146	0.21369488556705254	0.3984407892134814	0.6575342465753424
512	40	baseball glove	148	0.2605295309032313	0.4887299833025448	0.7364864864864865
512	41	skateboard	179	0.4226068350775951	0.6174578931346105	0.7821229050279329
512	42	surfboard	269	0.2910198772349084	0.4759309508690296	0.724907063197026
512	43	tennis racket	225	0.36339833912085845	0.6120727212823228	0.8177777777777778
512	44	bottle	1025	0.2550945630202127	0.40736621413554963	0.7375609756097561
512	46	wine glass	343	0.22699907682885123	0.35552934410715353	0.6443148688046647
512	47	cup	899	0.3003284370175264	0.43417669424138805	0.7986651835372637
512	48	fork	215	0.22758451872566865	0.34036593421658845	0.6651162790697674
512	49	knife	326	0.09296618131500524	0.15638576030028672	0.50920245398773
512	50	spoon	253	0.08617873501185358	0.1411960157902486	0.541501976284585
512	51	bowl	626	0.34973247666101376	0.48277486821786475	0.8354632587859425
512	52	banana	379	0.22840524156878103	0.37994288926134534	0.7071240105540897
512	53	apple	239	0.15297022803159413	0.2146926426194212	0.6317991631799164
512	54	sandwich	177	0.27109580600552985	0.39879943325592654	0.7796610169491526
512	55	orange	287	0.2409285083664917	0.31034009168150245	0.6829268292682927
512	56	broccoli	316	0.17605304709962477	0.32299372040644125	0.8544303797468354
512	57	carrot	371	0.15897267373688667	0.2702115993668773	0.738544474393531
512	58	hot dog	127	0.31446459202540383	0.46358880529944635	0.7244094488188977
512	59	pizza	285	0.47376855571125737	0.6185716188125799	0.8280701754385965
512	60	donut	338	0.4034380864593311	0.5550947620892892	0.8550295857988166
512	61	cake	316	0.3156113598889277	0.47936661400141195	0.7911392405063291
512	62	chair	1791	0.2212437826028208	0.3598179120322548	0.7509771077610273
512	63	couch	261	0.4151944013286824	0.5649790907547237	0.9080459770114943
512	64	potted plant	343	0.1843295339750927	0.34015312327490027	0.7288629737609329
512	65	bed	163	0.45943134365457805	0.6227992748935055	0.8895705521472392
512	67	dining table	697	0.29655371040043543	0.4225866971859275	0.7847919655667145
512	70	toilet	179	0.6227632833518234	0.7746532688820632	0.9329608938547486
512	72	tv	288	0.5229220914338701	0.6980376484843042	0.8472222222222222
512	73	laptop	231	0.5432517410711729	0.674668910980359	0.8528138528138528
