resolution	id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
768	176	/model.22/m.0/m.0.1/attn/Split_output_2_QuantizeLinear_Output	4	1x2x64x576	1	2	64	576	73728	73728	ROW_MAJOR_U8_V1	0.10391821712255478	0x3dd4d313	111	uint8	184	190	1032192
768	177	/model.22/m.0/m.0.1/attn/Transpose_output_0_QuantizeLinear_Output	4	1x2x576x32	1	2	576	32	36864	36864	ROW_MAJOR_U8_V1	0.049220163375139236	0x3d499b15	130	uint8	185	187	995328
768	178	/model.22/m.0/m.0.1/attn/Reshape_2_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	ROW_MAJOR_U8_V1	0.10391821712255478	0x3dd4d313	111	uint8	186	188	3465216
768	179	/model.22/m.0/m.0.1/attn/MatMul_output_0_QuantizeLinear_Output	4	1x2x576x576	1	2	576	576	663552	663552	ROW_MAJOR_U8_V1	0.83974045515060425	0x3f56f93b	109	uint8	187	189	1179648
768	180	/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.080201528966426849	0x3da440b3	115	uint8	188	191	4644864
768	181	/model.22/m.0/m.0.1/attn/Transpose_1_output_0_QuantizeLinear_Output	4	1x2x576x576	1	2	576	576	663552	663552	ROW_MAJOR_U8_V1	0.0035874536260962486	0x3b6b1b7c	0	uint8	189	190	2359296
768	182	/model.22/m.0/m.0.1/attn/MatMul_1_output_0_QuantizeLinear_Output	4	1x2x64x576	1	2	64	576	73728	73728	ROW_MAJOR_U8_V1	0.068268783390522003	0x3d8bd081	118	uint8	190	191	3465216
768	183	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.079644374549388885	0x3da31c97	116	uint8	191	192	1032192
768	184	/model.22/m.0/m.0.1/attn/proj/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.051992025226354599	0x3d54f597	125	uint8	192	193	3465216
768	185	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.08377055823802948	0x3dab8fe6	82	uint8	193	197	1032192
768	186	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.1584012508392334	0x3e2233f0	132	uint8	194	195	442368
768	187	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.077625632286071777	0x3d9efa30	4	uint8	195	196	2064384
768	188	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.096886113286018372	0x3dc66c3a	127	uint8	196	197	1105920
768	189	/model.22/Concat_output_0_QuantizeLinear_Output	4	1x384x24x24	1	384	24	24	221184	221184	NCHWc8_SPATIAL_INNER_V1	0.081260465085506439	0x3da66be3	95	uint8	198	199	0
768	190	/model.22/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.20883379876613617	0x3e55d887	178	uint8	199	200	294912
768	191	/model.22/cv2/act/Mul_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.064100302755832672	0x3d834705	4	uint8	200	202	442368
768	192	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x24x24	1	16	24	24	9216	9216	NCHWc8_SPATIAL_INNER_V1	0.069745950400829315	0x3d8ed6f7	135	uint8	201	203	792576
768	193	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.20714506506919861	0x3e541dd6	161	uint8	202	204	294912
768	194	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear_Output	4	1x16x24x24	1	16	24	24	9216	9216	NCHWc8_SPATIAL_INNER_V1	0.033882509917020798	0x3d0ac863	8	uint8	203	205	801792
768	195	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.077747620642185211	0x3d9f3a25	4	uint8	204	206	442368
768	196	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x24x24	1	16	24	24	9216	9216	NCHWc8_SPATIAL_INNER_V1	0.085621371865272522	0x3daf5a42	79	uint8	205	207	792576
