n	k	m	mode	strategy	output_hash	kernel_calls	padded_k_lanes	padded_n_columns	status
196	32	12	2	n8n8	0xeff8e9c42155eb9b	13	0	0	pass
196	32	12	2	n16	0xeff8e9c42155eb9b	13	0	0	pass
197	33	1	0	n8n8	0xe31fd6a45eda8790	13	7	3	pass
197	33	1	0	n16	0xe31fd6a45eda8790	13	7	3	pass
197	33	1	1	n8n8	0xf815a9547227be6c	13	7	3	pass
197	33	1	1	n16	0xf815a9547227be6c	13	7	3	pass
197	33	1	2	n8n8	0xe31fd6a45eda8790	13	7	3	pass
197	33	1	2	n16	0xe31fd6a45eda8790	13	7	3	pass
255	63	2	0	n8n8	0x3b70222031190f10	17	1	1	pass
255	63	2	0	n16	0x3b70222031190f10	16	1	1	pass
255	63	2	1	n8n8	0xfb669fcac4a95e34	17	1	1	pass
255	63	2	1	n16	0xfb669fcac4a95e34	16	1	1	pass
255	63	2	2	n8n8	0x967c91b584766acb	17	1	1	pass
255	63	2	2	n16	0x967c91b584766acb	16	1	1	pass
256	64	3	0	n8n8	0xf76a40a372582783	16	0	0	pass
256	64	3	0	n16	0xf76a40a372582783	16	0	0	pass
256	64	3	1	n8n8	0xd44f0a60732c4183	16	0	0	pass
256	64	3	1	n16	0xd44f0a60732c4183	16	0	0	pass
256	64	3	2	n8n8	0xf76a40a372582783	16	0	0	pass
256	64	3	2	n16	0xf76a40a372582783	16	0	0	pass
257	65	4	0	n8n8	0x6eb69e4bf1bf1465	17	7	3	pass
257	65	4	0	n16	0x6eb69e4bf1bf1465	17	7	3	pass
257	65	4	1	n8n8	0xe87dcd08dd73b89b	17	7	3	pass
257	65	4	1	n16	0xe87dcd08dd73b89b	17	7	3	pass
257	65	4	2	n8n8	0x7404825d80f34945	17	7	3	pass
257	65	4	2	n16	0x7404825d80f34945	17	7	3	pass
