surface	kind	sha256	bytes	status
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
coco/R211_PROJECT_EXACT_SPLIT_run1/cpu-full5000	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
coco/R211_PROJECT_EXACT_SPLIT_run1/cpu-full5000	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
coco/R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
coco/R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
coco/R211_PROJECT_EXACT_SPLIT_run1/cpu-full5000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
coco/R211_PROJECT_EXACT_SPLIT_run1/cpu-full5000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
coco/R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
coco/R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
