candidate	model	index	node_name	op_type	classification	zero_point_name	zero_point_dtype	zero_point_shape	zero_point_min	zero_point_max	zero_point_unique_count	zero_point_values
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	96	PPQ_Operation_1455	DequantizeLinear	weight	PPQ_Variable_2882	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	97	PPQ_Operation_1462	DequantizeLinear	weight	PPQ_Variable_2903	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	98	PPQ_Operation_1465	DequantizeLinear	weight	PPQ_Variable_2912	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	99	PPQ_Operation_1476	DequantizeLinear	weight	PPQ_Variable_2945	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	100	PPQ_Operation_1479	DequantizeLinear	weight	PPQ_Variable_2954	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	101	PPQ_Operation_1490	DequantizeLinear	weight	PPQ_Variable_2987	int8	4	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	102	PPQ_Operation_1493	DequantizeLinear	weight	PPQ_Variable_2996	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	103	PPQ_Operation_1500	DequantizeLinear	weight	PPQ_Variable_3017	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	104	PPQ_Operation_1507	DequantizeLinear	weight	PPQ_Variable_3038	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	105	PPQ_Operation_699	DequantizeLinear	activation	PPQ_Variable_614	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	107	PPQ_Operation_701	QuantizeLinear	activation	PPQ_Variable_620	int8	scalar	-101	-101	1	-101
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	108	PPQ_Operation_702	DequantizeLinear	activation	PPQ_Variable_623	int8	scalar	-101	-101	1	-101
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	110	PPQ_Operation_703	QuantizeLinear	activation	PPQ_Variable_626	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	111	PPQ_Operation_704	DequantizeLinear	activation	PPQ_Variable_629	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	113	PPQ_Operation_705	QuantizeLinear	activation	PPQ_Variable_632	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	114	PPQ_Operation_706	DequantizeLinear	activation	PPQ_Variable_635	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	116	PPQ_Operation_708	QuantizeLinear	activation	PPQ_Variable_641	int8	scalar	-115	-115	1	-115
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	117	PPQ_Operation_709	DequantizeLinear	activation	PPQ_Variable_644	int8	scalar	-115	-115	1	-115
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	119	PPQ_Operation_710	QuantizeLinear	activation	PPQ_Variable_647	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	120	PPQ_Operation_711	DequantizeLinear	activation	PPQ_Variable_650	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	122	PPQ_Operation_712	QuantizeLinear	activation	PPQ_Variable_653	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	123	PPQ_Operation_713	DequantizeLinear	activation	PPQ_Variable_656	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	125	PPQ_Operation_715	QuantizeLinear	activation	PPQ_Variable_662	int8	scalar	-107	-107	1	-107
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	126	PPQ_Operation_716	DequantizeLinear	activation	PPQ_Variable_665	int8	scalar	-107	-107	1	-107
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	128	PPQ_Operation_717	QuantizeLinear	activation	PPQ_Variable_668	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	129	PPQ_Operation_718	DequantizeLinear	activation	PPQ_Variable_671	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	131	PPQ_Operation_719	QuantizeLinear	activation	PPQ_Variable_674	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	132	PPQ_Operation_720	DequantizeLinear	activation	PPQ_Variable_677	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	134	PPQ_Operation_721	QuantizeLinear	activation	PPQ_Variable_680	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	135	PPQ_Operation_723	QuantizeLinear	activation	PPQ_Variable_686	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	136	PPQ_Operation_722	DequantizeLinear	activation	PPQ_Variable_683	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	137	PPQ_Operation_724	DequantizeLinear	activation	PPQ_Variable_689	int8	scalar	-127	-127	1	-127
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	139	PPQ_Operation_726	QuantizeLinear	activation	PPQ_Variable_695	int8	scalar	62	62	1	62
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	140	PPQ_Operation_727	DequantizeLinear	activation	PPQ_Variable_698	int8	scalar	62	62	1	62
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	142	PPQ_Operation_728	QuantizeLinear	activation	PPQ_Variable_701	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	143	PPQ_Operation_729	DequantizeLinear	activation	PPQ_Variable_704	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	145	PPQ_Operation_730	QuantizeLinear	activation	PPQ_Variable_707	int8	scalar	-94	-94	1	-94
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	146	PPQ_Operation_731	DequantizeLinear	activation	PPQ_Variable_710	int8	scalar	-94	-94	1	-94
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	148	PPQ_Operation_733	QuantizeLinear	activation	PPQ_Variable_716	int8	scalar	-98	-98	1	-98
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	149	PPQ_Operation_734	DequantizeLinear	activation	PPQ_Variable_719	int8	scalar	-98	-98	1	-98
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	151	PPQ_Operation_735	QuantizeLinear	activation	PPQ_Variable_722	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	152	PPQ_Operation_736	DequantizeLinear	activation	PPQ_Variable_725	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	154	PPQ_Operation_737	QuantizeLinear	activation	PPQ_Variable_728	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	155	PPQ_Operation_738	DequantizeLinear	activation	PPQ_Variable_731	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	157	PPQ_Operation_739	QuantizeLinear	activation	PPQ_Variable_734	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	158	PPQ_Operation_740	DequantizeLinear	activation	PPQ_Variable_737	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	160	PPQ_Operation_741	QuantizeLinear	activation	PPQ_Variable_740	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	161	PPQ_Operation_742	DequantizeLinear	activation	PPQ_Variable_743	int8	scalar	-125	-125	1	-125
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	163	PPQ_Operation_744	QuantizeLinear	activation	PPQ_Variable_749	int8	scalar	-93	-93	1	-93
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	164	PPQ_Operation_745	DequantizeLinear	activation	PPQ_Variable_752	int8	scalar	-93	-93	1	-93
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	166	PPQ_Operation_746	QuantizeLinear	activation	PPQ_Variable_755	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	167	PPQ_Operation_747	DequantizeLinear	activation	PPQ_Variable_758	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	169	PPQ_Operation_748	QuantizeLinear	activation	PPQ_Variable_761	int8	scalar	-124	-124	1	-124
