topological_index	node_name	op_type	domain	producer_output_index	output_tensor	shape	dtype	consumer_count	consumer_nodes	architecture_region	residual_concat_attention_membership
91	/model.8/m.0/m/m.0/cv2/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.0/cv2/act/Sigmoid;/model.8/m.0/m/m.0/cv2/act/Mul	R2	none
92	/model.8/m.0/m/m.0/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/m/m.0/cv2/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.0/cv2/act/Mul	R2	none
93	/model.8/m.0/m/m.0/cv2/act/Mul	Mul	ai.onnx	0	/model.8/m.0/m/m.0/cv2/act/Mul_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.0/Add	R2	none
94	/model.8/m.0/m/m.0/Add	Add	ai.onnx	0	/model.8/m.0/m/m.0/Add_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.1/cv1/conv/Conv;/model.8/m.0/m/m.1/Add	R2	residual
95	/model.8/m.0/m/m.1/cv1/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/m/m.1/cv1/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.1/cv1/act/Sigmoid;/model.8/m.0/m/m.1/cv1/act/Mul	R2	none
96	/model.8/m.0/m/m.1/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/m/m.1/cv1/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.1/cv1/act/Mul	R2	none
97	/model.8/m.0/m/m.1/cv1/act/Mul	Mul	ai.onnx	0	/model.8/m.0/m/m.1/cv1/act/Mul_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.1/cv2/conv/Conv	R2	none
98	/model.8/m.0/m/m.1/cv2/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.1/cv2/act/Sigmoid;/model.8/m.0/m/m.1/cv2/act/Mul	R2	none
99	/model.8/m.0/m/m.1/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/m/m.1/cv2/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.1/cv2/act/Mul	R2	none
100	/model.8/m.0/m/m.1/cv2/act/Mul	Mul	ai.onnx	0	/model.8/m.0/m/m.1/cv2/act/Mul_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.1/Add	R2	none
101	/model.8/m.0/m/m.1/Add	Add	ai.onnx	0	/model.8/m.0/m/m.1/Add_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/Concat	R2	residual
102	/model.8/m.0/cv2/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/cv2/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/cv2/act/Sigmoid;/model.8/m.0/cv2/act/Mul	R2	none
103	/model.8/m.0/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/cv2/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/cv2/act/Mul	R2	none
104	/model.8/m.0/cv2/act/Mul	Mul	ai.onnx	0	/model.8/m.0/cv2/act/Mul_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/Concat	R2	none
105	/model.8/m.0/Concat	Concat	ai.onnx	0	/model.8/m.0/Concat_output_0	1x128x20x20	FLOAT	1	/model.8/m.0/cv3/conv/Conv	R2	concat
106	/model.8/m.0/cv3/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/cv3/conv/Conv_output_0	1x128x20x20	FLOAT	2	/model.8/m.0/cv3/act/Sigmoid;/model.8/m.0/cv3/act/Mul	R2	none
107	/model.8/m.0/cv3/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/cv3/act/Sigmoid_output_0	1x128x20x20	FLOAT	1	/model.8/m.0/cv3/act/Mul	R2	none
108	/model.8/m.0/cv3/act/Mul	Mul	ai.onnx	0	/model.8/m.0/cv3/act/Mul_output_0	1x128x20x20	FLOAT	1	/model.8/Concat	R2	none
109	/model.8/Concat	Concat	ai.onnx	0	/model.8/Concat_output_0	1x384x20x20	FLOAT	1	/model.8/cv2/conv/Conv	R2	concat
110	/model.8/cv2/conv/Conv	Conv	ai.onnx	0	/model.8/cv2/conv/Conv_output_0	1x256x20x20	FLOAT	2	/model.8/cv2/act/Sigmoid;/model.8/cv2/act/Mul	R2	none
111	/model.8/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/cv2/act/Sigmoid_output_0	1x256x20x20	FLOAT	1	/model.8/cv2/act/Mul	R2	none
112	/model.8/cv2/act/Mul	Mul	ai.onnx	0	/model.8/cv2/act/Mul_output_0	1x256x20x20	FLOAT	2	/model.9/cv1/conv/Conv;/model.9/Add	R2	none
113	/model.9/cv1/conv/Conv	Conv	ai.onnx	0	/model.9/cv1/conv/Conv_output_0	1x128x20x20	FLOAT	2	/model.9/m/MaxPool;/model.9/Concat	R3	none
114	/model.9/m/MaxPool	MaxPool	ai.onnx	0	/model.9/m/MaxPool_output_0	1x128x20x20	FLOAT	2	/model.9/m_1/MaxPool;/model.9/Concat	R3	none
115	/model.9/m_1/MaxPool	MaxPool	ai.onnx	0	/model.9/m_1/MaxPool_output_0	1x128x20x20	FLOAT	2	/model.9/m_2/MaxPool;/model.9/Concat	R3	none
116	/model.9/m_2/MaxPool	MaxPool	ai.onnx	0	/model.9/m_2/MaxPool_output_0	1x128x20x20	FLOAT	1	/model.9/Concat	R3	none
117	/model.9/Concat	Concat	ai.onnx	0	/model.9/Concat_output_0	1x512x20x20	FLOAT	1	/model.9/cv2/conv/Conv	R3	concat
118	/model.9/cv2/conv/Conv	Conv	ai.onnx	0	/model.9/cv2/conv/Conv_output_0	1x256x20x20	FLOAT	2	/model.9/cv2/act/Sigmoid;/model.9/cv2/act/Mul	R3	none
119	/model.9/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.9/cv2/act/Sigmoid_output_0	1x256x20x20	FLOAT	1	/model.9/cv2/act/Mul	R3	none
120	/model.9/cv2/act/Mul	Mul	ai.onnx	0	/model.9/cv2/act/Mul_output_0	1x256x20x20	FLOAT	1	/model.9/Add	R3	none
121	/model.9/Add	Add	ai.onnx	0	/model.9/Add_output_0	1x256x20x20	FLOAT	1	/model.10/cv1/conv/Conv	R3	residual
122	/model.10/cv1/conv/Conv	Conv	ai.onnx	0	/model.10/cv1/conv/Conv_output_0	1x256x20x20	FLOAT	2	/model.10/cv1/act/Sigmoid;/model.10/cv1/act/Mul	R3	none
123	/model.10/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.10/cv1/act/Sigmoid_output_0	1x256x20x20	FLOAT	1	/model.10/cv1/act/Mul	R3	none
124	/model.10/cv1/act/Mul	Mul	ai.onnx	0	/model.10/cv1/act/Mul_output_0	1x256x20x20	FLOAT	1	/model.10/Split	R3	none
125	/model.10/Split	Split	ai.onnx	0	/model.10/Split_output_0	1x128x20x20	FLOAT	1	/model.10/Concat	R3	none
125	/model.10/Split	Split	ai.onnx	1	/model.10/Split_output_1	1x128x20x20	FLOAT	2	/model.10/m/m.0/attn/qkv/conv/Conv;/model.10/m/m.0/Add	R3	none
126	/model.10/m/m.0/attn/qkv/conv/Conv	Conv	ai.onnx	0	/model.10/m/m.0/attn/qkv/conv/Conv_output_0	1x256x20x20	FLOAT	1	/model.10/m/m.0/attn/Reshape	R3	attention
127	/model.10/m/m.0/attn/Constant	Constant	ai.onnx	0	/model.10/m/m.0/attn/Constant_output_0	4	INT64	1	/model.10/m/m.0/attn/Reshape	R3	attention
128	/model.10/m/m.0/attn/Reshape	Reshape	ai.onnx	0	/model.10/m/m.0/attn/Reshape_output_0	1x2x128x400	FLOAT	1	/model.10/m/m.0/attn/Split	R3	attention
129	Constant_176	Constant	ai.onnx	0	onnx::Split_355	3	INT64	2	/model.10/m/m.0/attn/Split;/model.22/m.0/m.0.1/attn/Split	non-module-constant-or-helper	none
130	/model.10/m/m.0/attn/Split	Split	ai.onnx	0	/model.10/m/m.0/attn/Split_output_0	1x2x32x400	FLOAT	1	/model.10/m/m.0/attn/Transpose	R3	attention
130	/model.10/m/m.0/attn/Split	Split	ai.onnx	1	/model.10/m/m.0/attn/Split_output_1	1x2x32x400	FLOAT	1	/model.10/m/m.0/attn/MatMul	R3	attention
