phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_b2	3	3	B2	spacemit	tail	100	14873.871149999999	358.60700352147893	2.4109863525439974	14709.139	15369.091799999998	15445.6479	16071.842140000002	16340.223813999999	14495.842	16370.044	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	3	3	B2	spacemit	two_stage	100	115179.90736	2045.4496106656884	1.7758736376411066	114257.6955	117452.20779999999	118578.01555	120325.93906000003	124888.13170599999	112704.184	125395.042	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	4	0	B2	spacemit	inference	100	103059.59515000001	5458.768088130326	5.296710199749242	101008.50450000001	108750.20490000001	110262.49135000001	114108.56087000013	137645.56168699992	98283.538	140260.784	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	4	0	B2	spacemit	tail	100	14951.37088	536.7737587658152	3.5901307182730733	14697.303	15561.1892	15658.65165	17092.527700000002	17669.423469999998	14539.509	17733.523	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	4	0	B2	spacemit	two_stage	100	118010.96603	5617.507088038194	4.760156854075872	116179.633	123907.39450000001	125692.00285	130751.97203000012	153393.3539029999	112981.05	155909.063	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	4	1	B2	spacemit	inference	100	100304.76323000001	1570.1237514317259	1.5653531306697903	100033.12	102392.18300000002	103052.10085	103353.97184000001	105487.36798399998	98139.193	105724.412	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	4	1	B2	spacemit	tail	100	14879.53263	329.3403686811003	2.2133784499190976	14710.427	15378.796699999999	15537.748249999999	15698.235830000001	15720.584782999998	14533.173	15723.068	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	4	1	B2	spacemit	two_stage	100	115184.29586	1661.954046859202	1.4428651357813682	114989.715	117294.67820000001	117781.38835	118378.22622000001	120243.465222	112713.867	120450.714	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	4	2	B2	spacemit	inference	100	100318.03357000001	2072.532563656682	2.0659621106014887	99981.0465	102425.3657	103636.43844999999	106603.95745000002	110079.69944499998	97896.795	110465.893	46	15	1	384	88412	88412	88412	4	4	11	11
noise_b2	4	2	B2	spacemit	tail	100	14994.17686	716.2177198797992	4.7766391350928705	14739.737000000001	15469.3455	15710.6313	18163.550620000013	20085.13646199999	14456.212	20298.646	46	15	1	384	88412	88412	88412	4	4	11	11
noise_b2	4	2	B2	spacemit	two_stage	100	115312.21042999999	2513.1589116227115	2.1794386754456663	114927.95300000001	117416.9119	119376.729	126218.6653	126619.28563	112465.257	126663.799	46	15	1	384	88412	88412	88412	4	4	11	11
noise_b2	4	3	B2	spacemit	inference	100	100437.84436	1881.5306932698534	1.8733284303931006	99931.0475	102582.8165	102885.37109999999	108231.21061	109188.911761	98311.335	109295.323	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_b2	4	3	B2	spacemit	tail	100	14871.37419	302.78374023751024	2.0360172259071523	14705.7565	15342.316700000001	15443.172499999999	15662.95469	15757.105768999998	14571.754	15767.567	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_b2	4	3	B2	spacemit	two_stage	100	115309.21855	1987.435744674952	1.72357056067739	114840.43549999999	117430.44290000001	117720.76310000001	123747.56212	124679.20241199998	112883.842	124782.718	47	16	1	1536	88156	88156	88156	4	4	11	11
noise_b2	5	0	B2	spacemit	inference	100	100327.67044	1852.6163174390867	1.8465656675912019	99979.22750000001	102317.4872	103200.0017	104130.25634000004	111039.18973399999	98146.402	111806.849	47	16	1	512	88412	88412	88412	4	4	11	11
noise_b2	5	0	B2	spacemit	tail	100	14809.14913	310.3726393007579	2.0958168263159216	14644.377499999999	15305.056	15363.0169	15534.557509999999	15556.610650999999	14526.709	15559.061	47	16	1	512	88412	88412	88412	4	4	11	11
noise_b2	5	0	B2	spacemit	two_stage	100	115136.81957	1923.6150295155803	1.6707210054087656	114806.959	117299.6214	117843.3311	119549.20326000002	125772.95052599997	112746.071	126464.478	47	16	1	512	88412	88412	88412	4	4	11	11
noise_b2	5	1	B2	spacemit	inference	100	100430.24466	1774.4387434812156	1.7668370215451146	99779.7775	103060.7706	104070.00325000001	105163.77498999999	105747.64639899999	98239.016	105812.521	47	16	1	1536	88668	88668	88668	4	4	11	11
noise_b2	5	1	B2	spacemit	tail	100	14837.60586	313.06601148917105	2.109949640414367	14696.8355	15362.7672	15401.003349999999	15529.40552	15604.919552	14447.039	15613.31	47	16	1	1536	88668	88668	88668	4	4	11	11
noise_b2	5	1	B2	spacemit	two_stage	100	115267.85051999999	1882.759753895991	1.6333780368094186	114640.0075	117683.93029999999	118725.9289	120654.97299000001	121121.677899	112924.893	121173.534	47	16	1	1536	88668	88668	88668	4	4	11	11
noise_b2	5	2	B2	spacemit	inference	100	100365.96308	1915.6246518472196	1.9086397350865927	99698.98999999999	102676.5631	103417.28839999999	106467.60223000003	109830.70222299999	98257.011	110204.38	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	5	2	B2	spacemit	tail	100	14901.39071	341.75847528267866	2.2934669785775896	14727.3965	15394.1793	15514.2915	15679.297200000005	16335.269219999996	14583.707	16408.155	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	5	2	B2	spacemit	two_stage	100	115267.35379000001	2078.9641318345857	1.8036018555801578	114765.143	117845.9902	118203.20765	121202.29885000002	126071.51138499998	112936.76	126612.535	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	5	3	B2	spacemit	inference	100	100548.51166999999	1763.7400863590246	1.7541185414535183	99966.00450000001	102785.54770000001	103140.03469999999	103977.82921000003	108985.00062099998	98241.834	109541.353	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	5	3	B2	spacemit	tail	100	14894.36398	323.0175694719956	2.1687234843041323	14735.145	15381.8937	15552.685950000001	15710.101380000004	15981.266538	14558.496	16011.396	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	5	3	B2	spacemit	two_stage	100	115442.87565	1882.4890450896314	1.6306671455386874	114926.32250000001	117676.0899	117923.68215	118926.75350000004	124580.28214999998	113155.212	125208.452	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	6	0	B2	spacemit	inference	100	102715.46707	4123.299003837121	4.014292220495981	101322.6615	108062.2182	110612.27115	114855.87728	115864.246928	97596.723	115976.288	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	6	0	B2	spacemit	tail	100	14937.93642	412.6355102662034	2.7623327524258094	14735.644	15482.061	15612.742	16304.106530000005	16886.867752999995	14553.119	16951.619	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	6	0	B2	spacemit	two_stage	100	117653.40349	4278.589511968102	3.6366049642854255	116399.129	123027.9401	126116.9961	130280.04847000002	130990.93014699999	112191.427	131069.917	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	6	1	B2	spacemit	inference	100	100072.79613	1658.64061041147	1.657434062556627	99888.463	102296.45589999999	102636.8528	104354.04097000002	106878.954097	97938.433	107159.5	46	15	1	1536	88284	88284	88284	4	4	11	11
noise_b2	6	1	B2	spacemit	tail	100	14802.763019999999	355.90973375491507	2.404346629572099	14636.495	15333.947699999999	15434.1994	15623.967300000004	16329.131429999998	14465.034	16407.483	46	15	1	1536	88284	88284	88284	4	4	11	11
noise_b2	6	1	B2	spacemit	two_stage	100	114875.55914999999	1771.8524796084846	1.5424103201054886	114869.2925	116984.6427	117502.6133	120744.26576000001	121731.47237599999	112537.052	121841.162	46	15	1	1536	88284	88284	88284	4	4	11	11
noise_b2	6	2	B2	spacemit	inference	100	100770.04384	1605.6188937051666	1.5933494047641037	100275.563	102739.066	103179.70134999999	106655.58782999999	107065.789083	98558.473	107111.367	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	6	2	B2	spacemit	tail	100	14882.860009999999	357.0413510922902	2.399010343794064	14715.8705	15360.689600000002	15449.520599999998	15638.835090000004	16599.608408999997	14525.699	16706.361	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	6	2	B2	spacemit	two_stage	100	115652.90385	1690.103081313217	1.4613581026078293	115407.542	117625.5747	118028.6203	121860.38282	122237.17068199998	113240.926	122279.036	47	16	1	1536	88412	88412	88412	4	4	11	11
