surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
B2_HOST	B2	host	CPU	0.001	0.75	100	large	7867	135472	812	0.05488387668394505	0.9064408341974882	0.10350090120906734	591486	118.2972	448147	28102
B2_HOST	B2	host	CPU	0.01	0.5	100	large	8082	27735	597	0.22564703911550382	0.9312132734185966	0.3632686084142395	143734	28.7468	107917	28102
B2_HOST	B2	host	CPU	0.01	0.75	100	large	7396	29005	1283	0.20318123128485482	0.8521719092061297	0.32812777284826977	143734	28.7468	107333	28102
B2_HOST	B2	host	CPU	0.05	0.5	100	large	7636	8719	1043	0.4668908590645063	0.8798248646157392	0.6100503315490933	44190	8.838	27835	28102
B2_HOST	B2	host	CPU	0.05	0.75	100	large	6924	9876	1755	0.41214285714285714	0.7977877635672312	0.5435064170493348	44190	8.838	27390	28102
B2_HOST	B2	host	CPU	0.25	0.5	100	large	6690	1706	1989	0.7968080038113388	0.7708261320428621	0.7836017569546121	17432	3.4864	9036	28102
B2_HOST	B2	host	CPU	0.25	0.75	100	large	6070	2602	2609	0.6999538745387454	0.6993893305680378	0.6996714886750043	17432	3.4864	8760	28102
B2_HOST	B2	host	CPU	0.5	0.5	100	large	5957	680	2722	0.8975440711164683	0.6863693973960133	0.7778793418647166	10670	2.134	4033	28102
B2_HOST	B2	host	CPU	0.5	0.75	100	large	5480	1319	3199	0.8060008824827181	0.6314091485194147	0.7081018219408192	10670	2.134	3871	28102
B2_HOST	B2	host	CPU	0.001	0.5	100	medium	11243	164967	1149	0.06380455138754895	0.9072788896061975	0.11922461055556147	591486	118.2972	415276	24389
B2_HOST	B2	host	CPU	0.001	0.75	100	medium	9321	167394	3071	0.05274594686359392	0.7521788250484184	0.09857911129677907	591486	118.2972	414771	24389
B2_HOST	B2	host	CPU	0.01	0.5	100	medium	10141	29314	2251	0.2570269927765809	0.8183505487411233	0.39118946129959303	143734	28.7468	104279	24389
B2_HOST	B2	host	CPU	0.01	0.75	100	medium	8208	31384	4184	0.2073146090119216	0.6623628147191737	0.3157894736842105	143734	28.7468	104142	24389
B2_HOST	B2	host	CPU	0.05	0.5	100	medium	8424	5744	3968	0.5945793337097685	0.6797934151065204	0.6343373493975903	44190	8.838	30022	24389
B2_HOST	B2	host	CPU	0.05	0.75	100	medium	6824	7195	5568	0.4867679577715957	0.5506778566817302	0.5167543826435955	44190	8.838	30171	24389
B2_HOST	B2	host	CPU	0.25	0.5	100	medium	5625	681	6767	0.8920076117982874	0.453921885087153	0.6016686276607124	17432	3.4864	11126	24389
B2_HOST	B2	host	CPU	0.25	0.75	100	medium	4807	1271	7585	0.790885159591971	0.387911555842479	0.5205197617758527	17432	3.4864	11354	24389
B2_HOST	B2	host	CPU	0.5	0.5	100	medium	3243	104	9149	0.9689273976695548	0.2617010974822466	0.41209733782324165	10670	2.134	7323	24389
B2_HOST	B2	host	CPU	0.5	0.75	100	medium	2930	251	9462	0.9210939955988683	0.23644286636539702	0.37629230077698583	10670	2.134	7489	24389
B2_HOST	B2	host	CPU	0.001	0.5	100	small	10553	235914	4711	0.042817091131875665	0.6913653039832285	0.08064004645991493	591486	118.2972	345019	21517
B2_HOST	B2	host	CPU	0.001	0.75	100	small	6000	239522	9264	0.02443772859458623	0.39308176100628933	0.04601474005506431	591486	118.2972	345964	21517
B2_HOST	B2	host	CPU	0.01	0.5	100	small	8570	44103	6694	0.16270195356254627	0.5614517819706499	0.25229256517067283	143734	28.7468	91061	21517
B2_HOST	B2	host	CPU	0.01	0.75	100	small	4794	46801	10470	0.0929159802306425	0.31407232704402516	0.14340627290267577	143734	28.7468	92139	21517
B2_HOST	B2	host	CPU	0.05	0.5	100	small	5490	5301	9774	0.5087572977481234	0.3596698113207547	0.42141623488773744	44190	8.838	33399	21517
B2_HOST	B2	host	CPU	0.05	0.75	100	small	3291	6713	11973	0.32896841263494603	0.2156053459119497	0.26048757321513377	44190	8.838	34186	21517
B2_HOST	B2	host	CPU	0.25	0.5	100	small	2160	311	13104	0.8741400242816674	0.14150943396226415	0.2435861291232027	17432	3.4864	14961	21517
B2_HOST	B2	host	CPU	0.25	0.75	100	small	1583	683	13681	0.6985878199470432	0.10370807127882599	0.18060467769537933	17432	3.4864	15166	21517
B2_HOST	B2	host	CPU	0.5	0.5	100	small	625	26	14639	0.9600614439324117	0.04094601677148847	0.07854225573358468	10670	2.134	10019	21517
B2_HOST	B2	host	CPU	0.5	0.75	100	small	521	89	14743	0.8540983606557377	0.03413259958071279	0.06564193020032758	10670	2.134	10060	21517
B2_HOST	B2	host	CPU	0.001	0.5	300	all	30544	573586	5791	0.050558654594209856	0.8406219898169809	0.09538069996018518	651637	130.3274	47507	446
