variance_lane	lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
Vdraw	VDRAW	182	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv[Conv]	model.23.one2one_cv3.2.0.0.conv.weight[Constant]	P5	confidence	0.0	0.0	1.0	-8.082	6.172	-8.050	6.196	17,0,0,0,0,17,0,0,0,17,153,68,187,289,221,1275,2890,8330,10200,6086,3264,748,323,136,119,34,102,136,51,68,0,85	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	183	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv[Conv]	model.23.one2one_cv3.2.0.0.conv.bias[Constant]	P5	confidence	0.0002	0.0003	0.9999	-3.342	3.746	-3.284	3.745	136,0,0,51,187,204,68,153,0,119,187,1173,680,1598,2057,3604,3502,2958,3315,2482,2363,1632,1649,2329,1649,1037,816,476,289,0,0,102	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	184	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv_output_0	P5	confidence	0.0798	0.114	0.9598	-9.899	10.275	-10.738	10.488	1,2,0,0,1,2,11,15,17,35,97,177,235,678,1987,5657,10092,8604,4316,2090,399,143,179,35,18,10,7,2,1,1,2,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	185	/model.22/m.0/m.0.1/attn/Mul[Mul]	PPQ_Variable_6[Constant]			0.0004	0.0	1.0	0.173	0.173	0.177	0.177	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	186	/model.22/m.0/m.0.1/attn/Mul[Mul]	/model.22/m.0/m.0.1/attn/Mul_output_0			0.0791	0.7712	0.9597	-12.412	16.282	-13.465	18.209	2,11,25,37,64,127,235,427,748,1321,2247,3258,4541,4954,4907,4171,2842,1887,1109,667,460,266,177,134,77,53,35,22,5,6,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	187	/model.19/m.0/m/m.1/cv1/conv/Conv[Conv]	model.19.m.0.m.1.cv1.conv.weight[Constant]			0.0002	0.0	0.9999	-0.883	0.711	-0.880	0.713	34,0,0,0,0,17,51,17,34,102,170,153,374,612,1224,2465,5984,10336,7939,3128,1020,493,187,221,85,51,17,17,17,17,34,17	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	188	/model.19/m.0/m/m.1/cv1/conv/Conv[Conv]	model.19.m.0.m.1.cv1.conv.bias[Constant]			0.0	0.0	1.0	-3.582	1.086	-3.576	1.089	1309,0,0,0,2023,0,0,0,0,0,0,2329,0,0,1054,952,0,0,1122,2176,3961,0,2346,2091,4930,0,0,5423,986,1003,2074,1037	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	189	/model.19/m.0/m/m.1/cv1/conv/Conv[Conv]	/model.19/m.0/m/m.1/cv1/conv/Conv_output_0			0.0789	0.0812	0.9599	-7.307	4.694	-6.803	4.711	2,2,2,3,8,17,22,30,62,109,174,302,531,977,1647,3056,4653,6000,6247,4402,2911,1760,985,512,224,95,45,17,13,5,1,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	190	/model.18/Concat[Concat]	/model.18/Concat_output_0			0.0783	0.0138	0.9604	-0.275	3.399	-0.278	3.489	14444,4511,3114,2589,2227,1836,1561,1273,874,672,522,359,222,165,111,91,46,47,41,29,22,15,7,9,10,1,3,7,2,3,2,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	191	/model.8/cv1/act/Mul[Mul]	/model.8/cv1/act/Mul_output_0			0.078	0.0241	0.9606	-0.285	5.650	-0.278	6.849	20479,4257,2840,1921,1540,1195,911,557,397,260,161,113,59,42,34,17,13,9,3,4,0,2,0,0,0,0,0,0,1,0,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	192	/model.19/m.0/Concat[Concat]	/model.19/m.0/Concat_output_0			0.0777	0.3236	0.9604	-0.770	20.705	-0.832	21.740	10689,10477,4486,2574,1642,1285,1134,866,584,357,246,153,109,56,47,34,16,13,8,13,7,7,2,1,2,1,3,1,1,1,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	193	/model.13/Concat[Concat]	/model.13/Split_output_0			0.0741	0.045	0.9632	-0.286	4.290	-0.278	4.654	8628,3649,3084,2891,2705,2532,2220,1942,1779,1352,1034,834,569,430,337,277,199,154,78,37,28,21,17,7,5,2,2,2,0,0,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	194	/model.13/Concat[Concat]	/model.13/Concat_output_0			0.0776	0.0304	0.961	-0.281	4.320	-0.278	4.246	13620,4214,3084,2516,2163,1718,1482,1225,996,841,644,483,414,317,236,218,168,135,116,76,52,33,18,17,11,10,0,2,1,2,1,3	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	195	/model.13/m.0/cv1/act/Mul[Mul]	/model.13/m.0/cv1/act/Mul_output_0			0.0775	0.0094	0.9607	-0.283	2.218	-0.278	2.379	6020,4163,3798,3367,2840,2517,2353,2197,2001,1747,1255,818,565,402,228,171,141,95,47,29,23,19,11,2,0,1,1,1,1,2,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
