id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
64	/model.9/Add_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.054341588169336319	0x3d5e9549	10	uint8	68	69	307200
65	/model.10/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.088547512888908386	0x3db55866	135	uint8	69	87	204800
66	/model.10/Split_output_1_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.042742777615785599	0x3d2f130d	7	uint8	70	82	563200
67	/model.10/m/m.0/attn/qkv/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.11401121318340302	0x3de97eb6	121	uint8	71	74	307200
68	/model.10/m/m.0/attn/Split_output_1_QuantizeLinear_Output	4	1x2x32x400	1	2	32	400	25600	25600	ROW_MAJOR_U8_V1	0.059319499880075455	0x3d72f901	126	uint8	72	76	665600
69	/model.10/m/m.0/attn/Split_output_2_QuantizeLinear_Output	4	1x2x64x400	1	2	64	400	51200	51200	ROW_MAJOR_U8_V1	0.11401121318340302	0x3de97eb6	121	uint8	73	79	614400
70	/model.10/m/m.0/attn/Transpose_output_0_QuantizeLinear_Output	4	1x2x400x32	1	2	400	32	25600	25600	ROW_MAJOR_U8_V1	0.046277262270450592	0x3d3d8d3a	128	uint8	74	76	691200
71	/model.10/m/m.0/attn/Reshape_2_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	ROW_MAJOR_U8_V1	0.11401121318340302	0x3de97eb6	121	uint8	75	77	716800
72	/model.10/m/m.0/attn/MatMul_output_0_QuantizeLinear_Output	4	1x2x400x400	1	2	400	400	320000	320000	ROW_MAJOR_U8_V1	0.62591516971588135	0x3f203bfa	122	uint8	76	78	2457600
73	/model.10/m/m.0/attn/pe/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.052911285310983658	0x3d58b981	116	uint8	77	80	768000
74	/model.10/m/m.0/attn/Transpose_1_output_0_QuantizeLinear_Output	4	1x2x400x400	1	2	400	400	320000	320000	ROW_MAJOR_U8_V1	0.0033711211290210485	0x3b5cee07	0	uint8	78	79	4096000
75	/model.10/m/m.0/attn/MatMul_1_output_0_QuantizeLinear_Output	4	1x2x64x400	1	2	64	400	51200	51200	ROW_MAJOR_U8_V1	0.054226145148277283	0x3d5e1c3c	126	uint8	79	80	716800
76	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.033318508416414261	0x3d0878fd	129	uint8	80	81	614400
77	/model.10/m/m.0/attn/proj/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.045027930289506912	0x3d386f35	126	uint8	81	82	716800
78	/model.10/m/m.0/Add_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.058968964964151382	0x3d718971	91	uint8	82	86	614400
79	/model.10/m/m.0/ffn/ffn.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.047968927770853043	0x3d447b11	175	uint8	83	84	307200
80	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.015778223052620888	0x3c814155	18	uint8	84	85	1433600
81	/model.10/m/m.0/ffn/ffn.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.051271319389343262	0x3d5201e0	131	uint8	85	86	563200
82	/model.10/Concat_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.077799133956432343	0x3d9f5527	97	uint8	87	88	307200
83	/model.10/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.083518043160438538	0x3dab0b82	150	uint8	88	165	204800
84	/model.12/Concat_output_0_QuantizeLinear_Output	4	1x384x40x40	1	384	40	40	614400	614400	NCHWc8_SPATIAL_INNER_V1	0.035356689244508743	0x3d10d22d	8	uint8	89	90	819200
85	/model.13/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.066355191171169281	0x3d87e53b	154	uint8	90	105	0
86	/model.13/Split_output_1_QuantizeLinear_Output	4	1x64x40x40	1	64	40	40	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.027117649093270302	0x3cde25d5	10	uint8	91	105	307200
87	/model.13/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.040932368487119675	0x3d27a8b3	160	uint8	92	94	563200
