index	observation	kind	name	model	wall_us	measurement
170	4	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	23	107.667	single instrumented diagnostic
172	4	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	23	113.626	single instrumented diagnostic
173	4	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	23	8380.873	single instrumented diagnostic
175	4	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	23	134.375	single instrumented diagnostic
177	4	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	23	1009.588	single instrumented diagnostic
179	4	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	23	108.834	single instrumented diagnostic
181	4	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	23	1026.13	single instrumented diagnostic
201	4	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	23	729.67	single instrumented diagnostic
202	4	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	23	6669.239	single instrumented diagnostic
203	4	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	23	64.417	single instrumented diagnostic
204	4	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	23	90.709	single instrumented diagnostic
205	4	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	23	132.918	single instrumented diagnostic
206	4	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	23	397.419	single instrumented diagnostic
207	4	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	23	73.709	single instrumented diagnostic
208	4	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	23	70.834	single instrumented diagnostic
209	4	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	23	71.251	single instrumented diagnostic
210	4	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	23	2110.635	single instrumented diagnostic
211	4	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	23	72.167	single instrumented diagnostic
212	4	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	23	295.543	single instrumented diagnostic
213	4	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	23	66.834	single instrumented diagnostic
214	4	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	23	301.96	single instrumented diagnostic
